,,January,March,March,March,May,May,May,August,,,,October,,November,,,,,,,,,,
,,Eldoret Open Chess Championship GrandPrix Ciruit,Kisumu Open Chess Championship 2026,"2nd Edition, Mavens Open International Chess Championship 2026",2026 Sataranji Africa Chess Festival,2026 Kiambu Open Chess Championship,2026 Kakamega Open Chess Championship,Quo Vadis Nyeri Chess Open 2026,,"
1st Nairobi Chess Club Grand Prix - Ladies",,,,,,,,,,,,,,,
FIDE ID,Name,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,,Rp,,,Best ,2nd Best,3rd Best ,4th Best ,Number of Events,Number of events,AVRG/4 EVENTS,Avrg/Events Played
10802886,Ndirangu Joyce Nyaruai,2455,,1727,,1872,1814,1640,,,,,,,,,,2455,1872,1814,1727,5,Played 4 Events,1967,"1,902"
10843981,Nashipae Bella,1715,1629,1912,2000,1931,,,1737,,,,,,,,,2000,1931,1912,1737,6,Played 4 Events,1895,"1,821"
10814922,Mutisya Jully,,1930,1807,,,1720,1809,,,,,,,,,,1930,1809,1807,1720,4,Played 4 Events,1817,"1,817"
10813330,Nicole Albright,1839,1651,1676,1857,1707,,,,,,,,,,,,1857,1839,1707,1676,5,Played 4 Events,1770,"1,746"
10809090,Mongeli Sasha,,,1989,,,1696,1769,,,,,,,,,,1989,1769,1696,,3,Played 3 Events,1818,"1,818"
10833307,Shukri Shakirah,1742,1820,,,,1683,,,,,,,,,,,1820,1742,1683,,3,Played 3 Events,1748,"1,748"
10808590,"Wanjiru, Lucy",,,1725,1730,1660,,,,,,,,,,,,1730,1725,1660,,3,Played 3 Events,1705,"1,705"
,Franciscah Kagwiria,,,1688,1649,1694,,,,,,,,,,,,1694,1688,1649,,3,Played 3 Events,1677,"1,677"
10832939,Mckenzie Chanel,,1700,1642,,,,,1622,,,,,,,,,1700,1642,1622,,3,Played 3 Events,1655,"1,655"
10825606,Gikandi Bernice Wambui,,,1581,1677,1683,,,,,,,,,,,,1683,1677,1581,,3,Played 3 Events,1647,"1,647"
10833609,Shannon Bulimo,1577,,1656,,,,,1698,,,,,,,,,1698,1656,1577,,3,Played 3 Events,1644,"1,644"
,Gathoni Kayleen,,,,1592,1563,,,1546,,,,,,,,,1592,1563,1546,,3,Played 3 Events,1567,"1,567"
,"Chumo, Aurelia Jemutai",,,,1502,,1551,,1543,,,,,,,,,1551,1543,1502,,3,Played 3 Events,1532,"1,532"
,Shalom Jepkosgei,1513,1591,1401,,,,,,,,,,,,,,1591,1513,1401,,3,Played 3 Events,1502,"1,502"
10822755,Elizabeth Cassidy Maina,1783,2486,,,,,,,,,,,,,,,2486,1783,,,2,Played 2 Events,2135,"2,135"
10814507,"Kaloki, Zuri",,,1849,,1778,,,,,,,,,,,,1849,1778,,,2,Played 2 Events,1814,"1,814"
10813985,Kagambi Angel,,,,1692,1749,,,,,,,,,,,,1749,1692,,,2,Played 2 Events,1721,"1,721"
10831053,Kuka Riziki,,,1639,,1622,,,,,,,,,,,,1639,1622,,,2,Played 2 Events,1631,"1,631"
10807853,"Njeri, Maureen Kirigo",,,1622,,1639,,,,,,,,,,,,1639,1622,,,2,Played 2 Events,1631,"1,631"
10894217,"Wangari, Mary Emmaculate",1682,,1528,,,,,,,,,,,,,,1682,1528,,,2,Played 2 Events,1605,"1,605"
10844970,"Inde, Joy",,,,,1555,,1629,,,,,,,,,,1629,1555,,,2,Played 2 Events,1592,"1,592"
10800794,"Jumba, Gloria",,,1664,,,1503,,,,,,,,,,,1664,1503,,,2,Played 2 Events,1584,"1,584"
10849025,"Kadenge, Julia Kasei",1648,,,,1505,,,,,,,,,,,,1648,1505,,,2,Played 2 Events,1577,"1,577"
10827129,Maashao Genevieve,1507,1615,,,,,,,,,,,,,,,1615,1507,,,2,Played 2 Events,1561,"1,561"
10835610,Gilana Angel Muthoni,,,1389,,,,,1329,,,,,,,,,1389,1329,,,2,Played 2 Events,1359,"1,359"
10814949,"Madelta, Glenda",,,,,2142,,,,,,,,,,,,2142,,,,1,Played 1 Event,2142,"2,142"
