,,January,March,March,March,May,May,May,August,,,,October,,November,,,,,,,,,,
,,Eldoret Open Chess Championship GrandPrix Ciruit,Kisumu Open Chess Championship 2026,"2nd Edition, Mavens Open International Chess Championship 2026",Sataranji Open Chess Championship 2026,2026 Kiambu Open Chess Championship,2026 Kakamega Open Chess Championship,Quo Vadis Nyeri Chess Open 2026,,"
1st Nairobi Chess Club Grand Prix - Open",,,,,,,,,,,,,,,
FIDE ID,Name,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,,Rp,,,Best ,2nd Best,3rd Best ,4th Best ,Number of Events,Number of events,AVRG/4 EVENTS,Avrg/Events Played
10816127,"Njuki, Gabriel",1985,1997,,1988,1838,2328,,1826,,,,,,,,,2328,1997,1988,1985,6,Played 4 Events,2075,"1,994"
10814582,"Kaloki, Hawi",1781,1864,2117,,2067,,,,,,,,,,,,2117,2067,1864,1781,4,Played 4 Events,1957,"1,957"
10814850,"Sagwa, Hillary",,1909,1765,1848,1923,,2115,1662,,,,,,,,,2115,1923,1909,1848,6,Played 4 Events,1949,"1,870"
10815406,"Irungu, Brian Mwangi",2031,1836,1861,,1737,2013,,,,,,,,,,,2031,2013,1861,1836,5,Played 4 Events,1935,"1,896"
10813420,"Okonga, Hugh Misiko",,1895,1984,2007,,1700,,,,,,,,,,,2007,1984,1895,1700,4,Played 4 Events,1897,"1,897"
10823875,"Chumba, Allan",1809,1773,1697,,1954,1939,1778,1884,,,,,,,,,1954,1939,1884,1809,7,Played 4 Events,1897,"1,833"
10801952,"Njoroge, Martin",1600,2000,,,1862,1877,,,,,,,,,,,2000,1877,1862,1600,4,Played 4 Events,1835,"1,835"
10833625,"Mwega, Nkanda",1586,,1990,,,1711,1805,,,,,,,,,,1990,1805,1711,1586,4,Played 4 Events,1773,"1,773"
10800360,"Singe, Philip Mbawala",1779,1770,1734,,1675,,,,,,,,,,,,1779,1770,1734,1675,4,Played 4 Events,1740,"1,740"
10831533,Kuka Kyle,,2064,2030,,2122,,,,,,,,,,,,2122,2064,2030,,3,Played 3 Events,2072,"2,072"
10808655,"Okeyo, Steve Austine",2169,1993,,,,2010,,,,,,,,,,,2169,2010,1993,,3,Played 3 Events,2057,"2,057"
10804714,"Methu, Joseph Muragu",,,1944,,1935,1949,,,,,,,,,,,1949,1944,1935,,3,Played 3 Events,1943,"1,943"
10842357,Muli Faraja Mumo,,,1738,,2168,,,1906,,,,,,,,,2168,1906,1738,,3,Played 3 Events,1937,"1,937"
10805796,Mwabu Timothy,,1995,2005,,,,,1807,,,,,,,,,2005,1995,1807,,3,Played 3 Events,1936,"1,936"
10816593,"Mutuge, Ian",1783,,1848,,,2161,,,,,,,,,,,2161,1848,1783,,3,Played 3 Events,1931,"1,931"
10823425,Omondi Stanley,,,1761,1969,,,,1977,,,,,,,,,1977,1969,1761,,3,Played 3 Events,1902,"1,902"
10808868,Shile Lenny Mataiga,,1622,1996,2013,,,,,,,,,,,,,2013,1996,1622,,3,Played 3 Events,1877,"1,877"
10831029,Manyeki Nathaniel,,,1876,1935,1801,,,,,,,,,,,,1935,1876,1801,,3,Played 3 Events,1871,"1,871"
10827382,Wanyoike Collins Mburu,,,1966,1778,1853,,,,,,,,,,,,1966,1853,1778,,3,Played 3 Events,1866,"1,866"
10815244,Abel Taji,,,1722,,1804,,,2021,,,,,,,,,2021,1804,1722,,3,Played 3 Events,1849,"1,849"
,Omondi Suleiman,1817,,1844,,,1839,,,,,,,,,,,1844,1839,1817,,3,Played 3 Events,1833,"1,833"
10836012,Mugambi Christian Mwamba,,,1748,,1757,,,1861,,,,,,,,,1861,1757,1748,,3,Played 3 Events,1789,"1,789"
10830618,Claude Peter,,,,1824,1737,,,1658,,,,,,,,,1824,1737,1658,,3,Played 3 Events,1740,"1,740"
10847979,Kenneth Koome Kinoti,,,,1742,1712,,1738,,,,,,,,,,1742,1738,1712,,3,Played 3 Events,1731,"1,731"
10842853,Waweru Davidson Mugo,,,1765,,1642,,1695,,,,,,,,,,1765,1695,1642,,3,Played 3 Events,1701,"1,701"
10897003,"Kipchumba, Brian",1719,1722,1508,,,,,,,,,,,,,,1722,1719,1508,,3,Played 3 Events,1650,"1,650"
10836586,Oluchiri Jeshurun Inyangala,,,,1567,1742,,,1559,,,,,,,,,1742,1567,1559,,3,Played 3 Events,1623,"1,623"
10824421,"Riungu, Kevin",,,,1424,1670,,,1763,,,,,,,,,1763,1670,1424,,3,Played 3 Events,1619,"1,619"
10856145,Jayden Kiai,,,1364,,1652,,1589,,,,,,,,,,1652,1589,1364,,3,Played 3 Events,1535,"1,535"
10839259,"Tindi, Liam",1601,1347,,,,1585,,,,,,,,,,,1601,1585,1347,,3,Played 3 Events,1511,"1,511"
10802088,"Ngani, Victor",1902,,,,2308,,,,,,,,,,,,2308,1902,,,2,Played 2 Events,2105,"2,105"
10831940,Karani Ezekiel,,,,,2061,,,2049,,,,,,,,,2061,2049,,,2,Played 2 Events,2055,"2,055"
10806830,Chege Kairu,,2024,,,2084,,,,,,,,,,,,2084,2024,,,2,Played 2 Events,2054,"2,054"
10835083,"Wanjiru, Chrisphinus",,,1926,,,,2076,,,,,,,,,,2076,1926,,,2,Played 2 Events,2001,"2,001"
10800999,Gohil Mehul,2014,,,1964,,,,,,,,,,,,,2014,1964,,,2,Played 2 Events,1989,"1,989"
10895000,Amos Wayne,,,1994,,,,,1979,,,,,,,,,1994,1979,,,2,Played 2 Events,1987,"1,987"
,"Jethwa, Shiv",2025,1844,,,,,,,,,,,,,,,2025,1844,,,2,Played 2 Events,1935,"1,935"
10800166,"Magana, Ben",,,1957,,,1901,,,,,,,,,,,1957,1901,,,2,Played 2 Events,1929,"1,929"
,Edwin Owen,,,1880,,1889,,,,,,,,,,,,1889,1880,,,2,Played 2 Events,1885,"1,885"
10849262,"Opiyo, Vitalis",2045,,1642,,,,,,,,,,,,,,2045,1642,,,2,Played 2 Events,1844,"1,844"
,"Muhambe, Terrence Shisundi",1819,,,,,1866,,,,,,,,,,,1866,1819,,,2,Played 2 Events,1843,"1,843"
10832343,"Nyamiaka, Haden",,,1850,1827,,,,,,,,,,,,,1850,1827,,,2,Played 2 Events,1839,"1,839"
,"Hesham, Mohammed Zemam",,,,,,,1906,1757,,,,,,,,,1906,1757,,,2,Played 2 Events,1832,"1,832"
10841741,"Langat, Silvanus",1817,,1844,,,,,,,,,,,,,,1844,1817,,,2,Played 2 Events,1831,"1,831"
10801693,"Walela, Austin",,,1812,1839,,,,,,,,,,,,,1839,1812,,,2,Played 2 Events,1826,"1,826"
10822496,"Ngugi, Samuel Mwaura",1852,1778,,,,,,,,,,,,,,,1852,1778,,,2,Played 2 Events,1815,"1,815"
10803670,"Amwai, Tom",1641,1915,,,,,,,,,,,,,,,1915,1641,,,2,Played 2 Events,1778,"1,778"
10819649,Jamie Obora Kanango,1654,,1898,,,,,,,,,,,,,,1898,1654,,,2,Played 2 Events,1776,"1,776"
10843345,"Mikuli, Lewis Owino",,,1714,,,,1836,,,,,,,,,,1836,1714,,,2,Played 2 Events,1775,"1,775"
,Baraka Arunga,,1775,1672,,,,,,,,,,,,,,1775,1672,,,2,Played 2 Events,1724,"1,724"
10842810,Simiyu Baraka Daniel,,,,,,1817,1616,,,,,,,,,,1817,1616,,,2,Played 2 Events,1717,"1,717"
10802061,"Akhanyinya, Bryan Toboso",1550,1865,,,,,,,,,,,,,,,1865,1550,,,2,Played 2 Events,1708,"1,708"
10800190,Kagambi Lawrence,,,,1538,1855,,,,,,,,,,,,1855,1538,,,2,Played 2 Events,1697,"1,697"
,Alex Kipkoech ,1735,,,,,1642,,,,,,,,,,,1735,1642,,,2,Played 2 Events,1689,"1,689"
10895418,Collins Muoki. K,,,1696,1675,,,,,,,,,,,,,1696,1675,,,2,Played 2 Events,1686,"1,686"
10800026,"Miheso, Clement Chomu",1839,,1525,,,,,,,,,,,,,,1839,1525,,,2,Played 2 Events,1682,"1,682"
10842896,Nthiga Blair Wema,,,,1671,1693,,,,,,,,,,,,1693,1671,,,2,Played 2 Events,1682,"1,682"
,Philip Mwashe,,,,1692,,,,1645,,,,,,,,,1692,1645,,,2,Played 2 Events,1669,"1,669"
10848533,Danson Ryan Kimani,,,1604,,1730,,,,,,,,,,,,1730,1604,,,2,Played 2 Events,1667,"1,667"
,"Kiruthu, Ted Wahome",1695,,,1627,,,,,,,,,,,,,1695,1627,,,2,Played 2 Events,1661,"1,661"
10896376,"Daniel, Misiko",1559,,,,,1690,,,,,,,,,,,1690,1559,,,2,Played 2 Events,1625,"1,625"
